,Name,size,MRP,price,url
87,Dr Willmar Schwabe India Alpha-Coff Cough Syrup,bottle of 100 ml Syrup,₹110,₹93,/otc/dr-willmar-schwabe-india-alpha-coff-cough-syrup-otc407060
88,New Life NL-2 Blood Urea Creatinin Drop,bottle of 30 ml Drop,₹150,₹126,/otc/new-life-nl-2-blood-urea-creatinin-drop-otc326171
89,SBL Sulphur Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹82,/otc/sbl-sulphur-dilution-200-ch-otc338173
90,SBL Aconitum Napellus Dilution 30 CH,bottle of 30 ml Dilution,₹95,₹80,/otc/sbl-aconitum-napellus-dilution-30-ch-otc345696
91,Bakson's Gastro Aid Tablet,bottle of 200 tablets,₹460,₹382,/otc/bakson-s-gastro-aid-tablet-otc386762
92,SBL Rauwolfia Serpentina Mother Tincture Q,bottle of 30 ml Mother Tincture,₹100,₹85,/otc/sbl-rauwolfia-serpentina-mother-tincture-q-otc338425
93,SBL Bryonia Alba Dilution 200 CH,bottle of 30 ml Dilution,₹105,₹90,/otc/sbl-bryonia-alba-dilution-200-ch-otc346051
94,SBL Five Phos Tablet 6X,bottle of 25 gm Tablet,₹95,₹81,/otc/sbl-five-phos-tablet-6x-otc608306
95,SBL Nixocid Tablet,bottle of 25 gm Tablet,₹155,₹133,/otc/sbl-nixocid-tablet-otc326119
96,Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹75,/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
97,Bakson's Sinus Aid Tablet,bottle of 75 tablets,₹215,₹181,/otc/bakson-s-sinus-aid-tablet-otc325988
98,SBL Rite-Hite Tablet,bottle of 25 gm Tablet,₹155,₹133,/otc/sbl-rite-hite-tablet-otc329012
99,SBL Bio-Combination 21 Tablet,bottle of 25 gm Biocombination Tablet,₹95,₹81,/otc/sbl-bio-combination-21-tablet-otc331070
100,SBL Rhus Toxicodendron Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹75,/otc/sbl-rhus-toxicodendron-dilution-30-ch-otc338184
101,ADEL 4 Apo-Rheum Drop,bottle of 20 ml Drop,₹295,₹251,/otc/adel-4-apo-rheum-drop-otc325870
102,SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,jar of 450 gm Paste,₹340,₹289,/otc/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate-otc325799
103,Dr. Reckeweg R1 Inflammation Drop,bottle of 22 ml Drop,₹270,₹227,/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
